70,379201,เพชรบูรณ์,สะเดียง,เมืองเพชรบูรณ์,เพชรบูรณ์,16.43,101.15,100.00,0.00
71,379401,หล่มสัก,ห้วยไร่,หล่มสัก,เพชรบูรณ์,16.77,101.25,100.00,0.00
72,451301,กำแพงแสน (1),สระสี่มุม,กำแพงแสน,นครปฐม,14.01,99.97,100.00,0.00
73,425301,อู่ทอง (1),นาสวน,ศรีสวัสดิ์,กาญจนบุรี,14.31,99.86,100.00,0.00
74,425201,สุพรรณบุรี,วังหว้า,ศรีประจันต์,สุพรรณบุรี,14.48,100.09,100.00,0.00
75,424301,ราชบุรี (1),ด่านทับตะโก,จอมบึง,ราชบุรี,13.49,99.79,100.00,0.00
76,450201,กาญจนบุรี,ท่ากระดาน,ศรีสวัสดิ์,กาญจนบุรี,14.02,99.54,100.00,0.00
77,450401,ทองผาภูมิ,ปีล็อก,ทองผาภูมิ,กาญจนบุรี,14.74,98.63,100.00,0.00
78,376401,อุ้มผาง,พะวอ,แม่สอด,ตาก,16.03,98.86,100.00,0.00
79,440401,สระแก้ว (2),ท่าแยก,เมืองสระแก้ว,สระแก้ว,13.79,102.03,100.00,0.00
80,430401,กบินทร์บุรี (2),คู้ลำพัน,ศรีมโหสถ,ปราจีนบุรี,13.99,101.70,100.00,0.00
81,430201,ปราจีนบุรี,คำโตนด,ประจันตคาม,ปราจีนบุรี,14.05,101.37,100.00,0.00
82,429301,สมุทรปราการ (บางปลา),,,,13.52,100.76,100.00,0.00
83,423301,ฉะเชิงเทรา (1),หนองแหน,พนมสารคาม,ฉะเชิงเทรา,13.57,101.45,100.00,0.00
84,429601,สุวรรณภูมิ(สนามบิน),,,,13.69,100.77,100.00,0.00
85,440201,อรัญประเทศ,บ้านใหม่หนองไทร,อรัญประเทศ,สระแก้ว,13.69,102.50,100.00,0.00
86,501201,คลองใหญ่,ไม้รูด,คลองใหญ่,ตราด,11.78,102.88,100.00,0.00
87,480301,พลิ้ว,คมบาง,เมืองจันทบุรี,จันทบุรี,12.51,102.17,100.00,0.00
