"","station_id","station_name","sub_district","district","province","latitude","longitude","f1_score","rmse"
"75",440401,"สระแก้ว (2)","ท่าแยก","เมืองสระแก้ว","สระแก้ว",13.79,102.03,69.7725759371512,9.47942126837596
"76",450201,"กาญจนบุรี","ท่ากระดาน","ศรีสวัสดิ์","กาญจนบุรี",14.02,99.54,65.4277925931161,8.73531037413717
"77",450401,"ทองผาภูมิ","ปีล็อก","ทองผาภูมิ","กาญจนบุรี",14.74,98.63,83.151228823392,9.53607781008094
"78",451301,"กำแพงแสน (1)","สระสี่มุม","กำแพงแสน","นครปฐม",14.01,99.97,65.2418585767166,8.39342998435662
"79",455201,"ศูนย์สิริกิตต์","แขวงคลองกุ่ม","เขตบึงกุ่ม","กรุงเทพมหานคร",13.73,100.56,71.2717693361163,11.814818233119
"80",455203,"ท่าเรือกรุงเทพฯ","แขวงสะพานสูง","เขตสะพานสูง","กรุงเทพมหานคร",13.71,100.57,69.549192353214,11.8198487174181
"81",455301,"บางนา (1)","แขวงลาดยาว","เขตจตุจักร","กรุงเทพมหานคร",13.67,100.61,70.0653643155641,11.6765254220417
"82",455302,"บางเขน","แขวงมีนบุรี","เขตมีนบุรี","กรุงเทพมหานคร",13.83,100.74,69.2195003905027,10.6480671746404
"83",455601,"สนามบินกรุงเทพฯ","แขวงสวนหลวง","เขตสวนหลวง","กรุงเทพมหานคร",13.91,100.59,67.1677596482895,10.6121532121305
"84",459201,"ชลบุรี","หนองซ้ำซาก","บ้านบึง","ชลบุรี",13.36,100.98,67.0283685629439,9.85758974943936
"85",459202,"เกาะสีชัง","ท่าเทววงศ์","เกาะสีชัง","ชลบุรี",13.16,100.8,62.195333442197,9.96970063302399
"86",459203,"พัทยา","บางละมุง","บางละมุง","ชลบุรี",12.92,100.87,61.4914683821622,9.26464049424564
"87",459204,"สัตหีบ","พลูตาหลวง","สัตหีบ","ชลบุรี",12.69,100.98,60.9366116415438,10.1281329872487
"88",459205,"แหลมฉบัง","ทุ่งสุขลา","ศรีราชา","ชลบุรี",13.08,100.87,59.6362541247249,8.95784678627244
"89",465201,"เพชรบุรี","ช่องสะแก","เมืองเพชรบุรี","เพชรบุรี",13,100.06,63.8210732217061,9.09923696701785
"90",478201,"ระยอง","ชุมแสง","วังจันทร์","ระยอง",12.63,101.34,62.5375987681885,10.9225457917256
"91",478301,"ห้วยโป่ง (1)","ห้วยโป่ง","เมืองระยอง","ระยอง",12.74,101.14,66.8528483577826,10.7489138651486
