"","station","name_en","name_th","lat","long","rainfall","date"
"92",480301,"PHLIU","พลิ้ว",12.510486,102.169658,"11.9333333333333","2012-09-18"
"93",500201,"PRACHUAP KHIRIKHAN","ประจวบคีรีขันธ์",11.8349,99.810319,"2.53333333333333","2012-09-18"
"94",500202,"HUA HIN","หัวหิน",12.577975,99.953683,"0","2012-09-18"
"95",500301,"NONG PHLUB","หนองพลับ (1)",12.589378,99.734328,"1.23333333333333","2012-09-18"
"96",501201,"KHLONG YAI","คลองใหญ่",11.780217,102.878233,"19.5333333333333","2012-09-18"
"97",517201,"CHUMPHON","ชุมพร",10.498681,99.188467,"2.9","2012-09-18"
"98",517301,"SAWI","สวี (1)",10.330628,99.091906,"0.2","2012-09-18"
"99",532201,"RANONG","ระนอง",9.954803,98.63385,"34.2666666666667","2012-09-18"
"100",551201,"SURAT THANI","สุราษฎร์ธานี",9.133517,99.152139,"15.2666666666667","2012-09-18"
"101",551202,"SURAT THANI AIR","สุราษฎร์ธานี",9.300022,98.907264,"5.03333333333333","2012-09-18"
"102",551203,"KO SAMUI","เกาะสมุย",9.450817,100.033464,"11.1333333333333","2012-09-18"
"103",551301,"SURAT THANI","สุราษฎร์ธานี",9.144953,99.633453,"3","2012-09-18"
"104",551401,"Prasaeng","พระแสง (2)",8.572086,99.255217,"1.26666666666667","2012-09-18"
"105",552201,"NAKHONSI THAMMARAT","นครศรีธรรมราช",8.546203,99.939775,"19.3","2012-09-18"
"106",552202,"KHANOM","ขนอม",8.994253,99.351353,"3.36666666666667","2012-09-18"
"107",552301,"NAKHON SI THAMMARAT","นครศรีธรรมราช (1)",8.361247,100.055911,"15.8666666666667","2012-09-18"
"108",552401,"Chawang","ฉวาง (2)",8.426769,99.5033,"17.4333333333333","2012-09-18"
"109",560301,"PHATTALUNG","พัทลุง",7.582853,100.163589,"0","2012-09-18"
"110",561201,"TAKUA PA","ตะกั่วป่า",8.684306,98.252417,"8.33333333333333","2012-09-18"
"111",564201,"PHUKET","ภูเก็ต",7.884394,98.391894,"14.2","2012-09-18"
"112",564202,"PHUKET AIRPORT","สนามบินภูเก็ต",8.104531,98.307722,"5.7","2012-09-18"
"113",566201,"KO LANTA","เกาะลันตา",7.544625,99.046608,"0","2012-09-18"
"114",566202,"KRABI","กระบี่",8.103489,98.975389,"13.6666666666667","2012-09-18"
"115",567201,"TRANG AIRPORT","ตรัง",7.512308,99.620986,"11.2666666666667","2012-09-18"
"116",568301,"KHO HONG","คอหงษ์ (1)",7.018767,100.497825,"1.16666666666667","2012-09-18"
"117",568401,"Sa Dao","สะเดา (2)",6.789292,100.409742,"0","2012-09-18"
"118",568501,"SONGKHLA","สงขลา",7.184061,100.6043,"1.3","2012-09-18"
"119",568502,"HAT YAI AIRPORT","หาดใหญ่",6.937272,100.395361,"3","2012-09-18"
"120",570201,"SATUN","สตูล",6.653631,100.083194,"5","2012-09-18"
"121",580201,"PATTANI AIRPORT","ปัตตานี",6.789722,101.147,"4.6","2012-09-18"
"122",581301,"YALA","ยะลา",6.515439,101.2741,"0","2012-09-18"
"123",583201,"NARATHIWAT","นราธิวาส",6.427056,101.825417,"0","2012-09-18"
